epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6444,2.48832,4.83931,1.4749,0.00067,0.2,0.00041,0.00011,2.20567,5.55566,1.58312,4e-05,4e-05,4e-05
2,30.2337,2.03578,5.04766,1.3321,0.0015,0.45,0.00115,0.00034,1.90521,5.66588,1.34398,9.934e-05,9.934e-05,9.934e-05
3,45.6588,2.09197,5.8644,1.37317,0.00267,0.8,0.00321,0.00097,2.02027,5.76342,1.26244,0.000157888,0.000157888,0.000157888
4,60.8335,2.17633,4.76819,1.17415,0.00325,0.975,0.00694,0.00234,2.04795,5.3116,1.22979,0.000215644,0.000215644,0.000215644
5,75.6257,1.89649,3.93134,1.19804,0.00333,1,0.04849,0.0123,1.61217,4.76491,1.09169,0.000272608,0.000272608,0.000272608
6,91.4424,1.87184,2.91397,1.21873,0.00333,1,0.03002,0.00829,1.48735,4.80506,1.0738,0.00032878,0.00032878,0.00032878
7,106.451,1.84694,4.26026,1.19838,0.00317,0.95,0.02031,0.00522,1.46312,4.78063,1.06862,0.00038416,0.00038416,0.00038416
8,119.626,1.52466,2.91357,1.09607,0.00317,0.95,0.01,0.00302,1.43372,4.81781,1.05723,0.000438748,0.000438748,0.000438748
9,131.901,1.60466,2.98946,1.16306,0.003,0.9,0.00534,0.0023,1.50115,4.81063,1.08158,0.000492544,0.000492544,0.000492544
10,144.123,1.74194,2.94562,1.22821,0.00292,0.875,0.00488,0.00191,1.56189,4.669,1.09916,0.000545548,0.000545548,0.000545548
11,156.92,1.53002,2.57669,1.16107,0.00292,0.875,0.00397,0.00171,1.43661,4.64927,1.09781,0.00059776,0.00059776,0.00059776
12,169.149,1.61034,2.52715,1.1836,0.00308,0.925,0.00447,0.00187,1.41174,4.67959,1.10413,0.00064918,0.00064918,0.00064918
13,181.139,1.57712,2.91368,1.14371,0.00267,0.8,0.00385,0.00149,1.53737,4.85223,1.15609,0.000699808,0.000699808,0.000699808
14,193.433,1.62642,2.67437,1.18286,0.00275,0.825,0.00413,0.00148,1.50754,4.8055,1.17388,0.000749644,0.000749644,0.000749644
15,205.671,1.51132,2.50112,1.19248,0.00275,0.825,0.00421,0.00166,1.3638,4.7347,1.12931,0.000798688,0.000798688,0.000798688
16,218.201,1.57435,2.67876,1.25423,0.00283,0.85,0.00429,0.00156,1.43855,4.63541,1.14874,0.00084694,0.00084694,0.00084694
17,230.945,1.62297,2.25955,1.17063,0.00292,0.875,0.00397,0.00159,1.38778,4.57416,1.13337,0.0008944,0.0008944,0.0008944
18,242.822,1.50993,2.31738,1.09413,0.00308,0.925,0.0046,0.00219,1.29046,4.49224,1.11658,0.000941068,0.000941068,0.000941068
19,254.876,1.44477,2.32353,1.08543,0.00317,0.95,0.00477,0.00214,1.23947,4.42075,1.11732,0.000986944,0.000986944,0.000986944
